Name of the article,Source,Publication date,S1,S2,S3,S4,S5,S6,S7,S8,S9,"sentences with the keyword ""mask""?J?","sentences with the keyword ""mask""?K?",?1,?2,?3,?4,?5
Dortmund explode into action as Bundesliga restarts with no fans,Bloomberg News,5/16/2020,"With a strict health protocol governing the fragile restart, which includes no fans, face masks for everyone but the players, no handshakes and no group celebrations","Goal celebrations around the Bundesliga on Saturday were limited to smiles, thumbs-up and the occasional fist or elbow bump as mask-wearing substitutes",,,,,,,,,,,,,,
Italy’s Conte Says Taking Calculated Risk in Easing Lockdown,Bloomberg News,5/16/2020,"Social distancing and other health and safety rules will accompany the easing, with customers having to wear protectives masks in shops, restaurants ensuring a distance of at least one meter between clients, and group sports banned on beaches. ","We recommend that people always have a protective mask with them, which will have to be worn in certain areas including indoors",,,,,,,,,,,,,,
"Trump's Theory, Frayed Ties and a Wasted Lockdown: Weekend Reads",Bloomberg News,5/16/2020,"Brazil's president, front center, wears a protective mask alongside ministers during the National Flag Raising ceremony at Alvorada Palace in Brasilia on May 12. ",,,,,,,,,,,,,,,
Face Mask Supplies Run Out Across Asia Because of Virus Panic,Bloomberg News,1/24/2020,Face masks and hand sanitizers are becoming must-have accessories from Hong Kong to Japan as a deadly virus spreads across Asia.,"Pharmacies across Hong Kong sold out of masks aimed at preventing viral infection, prompting authorities to say more will arrive next week.",Taiwan banned the export of masks for the next month to ensure sufficient domestic supply. ,"At Cheung Tai Dispensary in Hong Kong’s financial district, supplies of masks and sanitizer ran out two days ago, and medical gloves are selling fas",A few batches of new face masks will arrive next week.,,,,,,,,,,,
China’s Virus Outbreak Triggers a Global Run on Face Masks,Bloomberg News,1/29/2020,"Many shops on Amazon, Alibaba are running out of masks ",Doctor says hand hygiene may be more important than masks(negative) ,People across the globe are stockpiling facial masks to protect themselves from the new coronavirus,"Commuters wearing protective masks walk through Hong Kong Station, Jan. 29.","she scooped up 2,000 masks to send back to people in China without asking for additional money. ","Good hand hygiene, including the regular use of an alcohol-based sanitizer, may be more effective than face masks at preventing transmission of the 2019-nCoV virus, said Peter Collignon, an infectious diseases physician and microbiologist at Australia’s Canberra Hospital.(nagative)",The e-commerce site said it sold 80 million face masks through Taobao within two days.,,,,,,,,,
Drones Take to China’s Skies to Fight Coronavirus Outbreak,Bloomberg News,2/4/2020,"In coronavirus-hit China, not wearing a face mask is a big no-no. ",Footage posted by Global Times shows people in rural China publicly shamed by a drone for not wearing a face mask or for venturing outside unnecessarily. ,,,,,,,,,,,,,,
Shortage Rumors Spark Toilet Paper Panic Buying in Hong Kong,Bloomberg News,2/6/2020,Hong Kong has been struggling with a shortage of face masks to protect against the coronavirus outbreak.,,,,,,,,,,,,,,,
"While Hong Kong Waits in Line, Singapore Distributes 5 Million Masks",Bloomberg News,2/6/2020,Thousands line up to buy masks in Hong Kong amid shortages ,"With no sign the coronavirus outbreak will be under control any time soon, surgical masks -- the three-ply, pleated rectangles that typically sell for a few cents each -- have become a political flash point across Asia.
","In Singapore, where an election is expected soon, the government touted its move to deploy some 1,500 servicemen to help distribute 5 million masks","“What I wanted to say is that government should put the mask supply to medical workers as a priority,” said Lam.",Therefore we need to evaluate the need of mask use by officials in public events(dubious),"You need a supply of things like face masks, goggles, even alcohol -- they should stockpile these things.","According to the World Health Organization, surgical masks are limited in their ability to helping healthy people stay that way.(negative)","It recommends masks for people who already have respiratory illness, their caregivers, and health care workers.",,,,,,,,
"How to Avoid Coronavirus on Flights: Forget Masks, Says Top Airline Doctor",Bloomberg News,2/6/2020,"Forget face masks and rubber gloves. The best way to avoid the coronavirus is frequent hand washing, according to a medical adviser to the world’s airlines.(negative)","Masks and gloves do a better job of spreading bugs than stopping them, he said.(negative)",Airline passengers wear protective masks as they sit in the arrivals hall at the Hong Kong International Airport on Jan. 30.,"first of all, masks. There’s very limited evidence of benefit, if any, in a casual situation. Masks are useful for those who are unwell to protect other people from them. But wearing a mask all the time will be ineffective.(negative)",,,,,,,,,,,,
Expat Chinese Workers Scouring Foreign Pharmacies for Masks,Bloomberg News,2/7/2020,One employee was able to secure the last lot of masks at a Home Depot in Texas and shipped it back to China by express mail.,The goal is to get 2 million masks shipped back to headquarters.,"The brisk demand for masks is spurring counterfeiters to flood the market with bogus respiratory devices, according to the U.S. Centers for Disease Control.",Home Depot has experienced a nationwide increase in demand for masks,"To avoid a run on the products through bulk purchases, the retail giant has limited the number of masks that each customer can buy to 10",,,,,,,,,,,
"Chinese Carmakers Are Now Making Face Masks, Prompted by Coronavirus",Bloomberg News,2/10/2020,A shortage of face masks has prompted Chinese companies from car manufacturers to energy providers to start making their own to help fight the coronavirus.,"While China is the world’s biggest manufacturer, its current production capacity of almost 15 million masks a day isn’t enough in the current crisis. ","Without proper safety measures such as masks, companies risk the outbreak spreading among employees.",While China made more than 5 billion face masks on the mainland last year -- about half the world’s output -- there’s still a shortage as the number of infections soars.,Beijing have banned civil servants from wearing the N95-type masks urgently needed in hospitals.,,,,,,,,,,,
Clamor for Masks Can’t Save Asian Plastic Makers From Virus,Bloomberg News,2/11/2020,Demand for face masks and surgical gloves may be surging as China battles the coronavirus,"In a sign of how critical the mask shortage is getting, state oil giant PetroChina Co. last week directed overseas employees from Houston to Lagos to buy them up and send as many as 2 million back to headquarters.","Manufacturing of face masks accounted for just 0.1% of polypropylene demand in China last year, Horace Chan, an analyst at Bloomberg Intelligence, said in a note.",A worker makes protective face masks at a factory in Shanghai on Jan. 31.,,,,,,,,,,,,
Hong Kong Stock Gains 129% After Saying It Will Make Masks,Bloomberg News,2/14/2020,A Hong Kong-listed maker of silicon and rubber keypads surged the most on record after saying it won an order to make masks for Beijing.,The company said in an exchange filing late Thursday that it received an order from the State-owned Assets Supervision and Administration Commission to make 5 million face masks.,"Ta Yang, which was not a mask maker before the deadly coronavirus outbreak, added it would be collaborating with a technology firm in Shenzhen to produce the masks","Hong Kong Television Network Ltd., which operates an online shopping mall that sells masks, has surged 41% this year.",,,,,,,,,,,,
Virus Outbreak Drives Italians to Panic-Buying of Masks and Food,Bloomberg News,2/24/2020,They all asked for the same thing: a mask typically used in building sites or factories. ,"“We sell industrial equipment and I know most of our clients, so I was astonished when people I’ve never seen before asked for these professional masks,” the 71-year-old said.",Someone told me that I was one of the few shops to still have protective masks.,"A sign at the entrance to a pharmacy explains they have sold out of protective face masks and hand sanitizing gel in Milan, on Feb. 24.",Pharmacies carried signs saying they’ve run out of protective masks and hand sanitizer.,"Staples like meat, bread and pasta were in short supply in some stores as consumers, many wearing surgical masks, waited in long lines to stock up.",,,,,,,,,,
Trump Administration Asks for $2.5 Billion to Battle Coronavirus,Bloomberg News,2/25/2020,Other parts of the request would be put toward stockpiling of protective masks and therapeutic programs,,,,,,,,,,,,,,,
U.S. Holds Off Urging Face-Mask Use But Virus Fears Fan Sellout,Bloomberg News,2/28/2020,"U.S. health authorities may not be calling for the use of face masks to halt the spread of the novel coronavirus just yet, but shortages appear to be emerging across the U.S. anyway.(dubious)","Social media users across the country posted photos of empty store shelves, attributing the rush for face masks and hand sanitizers to heightened fears of the respiratory disease.(supportive)",The Centers for Disease Control and Prevention said on Thursday afternoon that it doesn’t currently recommend the use of face masks to prevent the spread of the disease. (negative),"Some users on Twitter, meanwhile, reported that it wasn’t just face masks that were hard to come by, saying items such as bottle water, bleach and paper towels were also sold out.(supportive)",,,,,,,,,,,,
Bloomington Business Helps Hoosiers and Healthcare Workers Improvise COVID-19 Protective Face Masks Faster by Mass-Producing,Bloomberg News,4/14/2020,"Bloomington-based Garden Tower Project is helping to protect against the
spread of COVID-19 by mass-producing face mask frames for healthcare providers
and communities. 
","Garden Tower Project converted equipment at its injection-molding partner
facilities in Indiana to produce the face mask frames from high-quality
plastic using a 3D-printing design, making them the first and only frames in
mass-production and available to consumers. 
","Garden Tower Project is small and adaptable, and we knew we
could help our community and many others by producing these face mask frames.
","We hope that our production model will
enable companies around the country to produce the face mask frames and, as a
result, prevent further spread of the virus.
",,,,,,,,,,,,
"Wear a Mask, Because Stone Cold Said So",Bloomberg News,5/15/2020,Some people agree wearing masks because they think it is powerful. People need to wear masks to protect themselves.,"Wearing masks help people to protect themselves from the virus. People need to wear mask outside, especially in market."," People need to wear mask outside, especially in market. That argument should be good enough for many mask-skeptics.","Those seem motivated by darker impulses, writes Francis Wilkinson, the sort of violent dreams that helped propel President Donald Trump (who refuses to wear a mask, even in a mask factory) into the White House. His campaign and presidency have one unifying theme: a promise to destroy the country rather than hand it to the mask-wearing types. "," Noah Feldman writes the court invented a technicality to express the sort of right-wing panic that sees all of this, from lockdown orders to masks, as a plot to install a socialist government. ",,,,,,,,,,,
Italy Learns a Hard Lesson on Face Masks,Bloomberg News,5/14/2020,The Italian government has nonetheless chosen to set one for face masks — and it’s learning the lesson the hard way.,The Italian government has nonetheless chosen to set one for face masks — and it’s learning the lesson the hard way.,"That is what’s happening in Italy after the government said surgical masks should cost 50 euro cents (54 cents), excluding VAT.","Domestically, a number of Italian businesses that had reconverted their production lines to make masks now say the price is just too low to meet their costs. The government says it will compensate those pharmacists who’ve paid more for their masks than the sale price, but that won’t solve the scarcity problem.","Scientists believe that face masks can help contain the spread of Covid-19, especially in places where social distancing is hard, such as on public transport. ","Letting citizens purchase face masks at a reasonable price isn’t just about being fair to the poorest citizens; it will also make the mask policy more effective, since it will boost compliance and help reduce the risk of contagion. ","The government can then purchase these goods at their market value, and distribute them at whatever price it wishes. If it has to pay more than the price at which the masks are sold to the public, then so be it. ",Italy’s face-mask struggles have broader economic implications in a time of pandemic. ,,,,,,,,
Why America Can Make Semiconductors But Not Swabs,Bloomberg News,5/8/2020,"Faced with an unprecedented emergency, U.S. factories have struggled to make even relatively simple products such as swabs, masks and protective gear.","Manufacturers such as BYD Co.(an automaker) and Foxconn (an electronics assembler) have helped to quadruple China’s mask production since the beginning of the pandemic. Taiwanese companies, which make machine tools and can draw on deep pools of manufacturing expertise, were reportedly able to increase mask production tenfold.",,,,,,,,,,,,,,
America’s Coronavirus Report Card: Grim But Incomplete,Bloomberg News,5/7/2020,Another big project would be to equip every American with a quality mask and promote mask-wearing as “the new normal.” ,"Early advice from public-health authorities was that mask-wearing was not worthwhile, though this turned out to be incorrect.?negative to positive) ","Meanwhile federal restrictions made it difficult to import masks, even though the country’s mask stockpile had been greatly depleted in 2009 and not replenished. ","There does seem to be a recent improvement in mask-wearing among the general public, at least where I live in northern Virginia.",,,,,,,,,,,,
Why Coronavirus Is Punishing the Economy More than Spanish Flu,Bloomberg News,5/6/2020,"Additionally, many cities responded to the threat the same way states are now with social distancing. These included closing schools and churches, banning mass gatherings, mandated mask-wearing and other restrictions.",,,,,,,,,,,,,,,
Sewing a Covid-19 Mask? You Need This Chart,Bloomberg News,4/24/2020,"Research published in the journal Disaster Medicine and Public Health Preparedness demonstrates that a number of factors coalesce to make a face mask effective — including proper fitting, cleaning and disposal, and the inevitable trade-off between filtration efficiency and the effort required to breathe.","The authors note that “any mask, no matter how efficient at filtration or how good the seal, will have minimal effect if it is not used in conjunction with other preventative measures, such as isolation of infected cases, immunization, good respiratory etiquette, and regular hand hygiene.”","a homemade mask should only be considered as a last resort to prevent droplet transmission from infected individuals, but it would be better than no protection.",,,,,,,,,,,,,
America Was Late to the N95 Mask Party,Bloomberg News,4/21/2020,"To date, the official advice concerning non-medical use of face masks has been somewhat confusing. ","The World Health Organization states: “If you are healthy, you only need to wear a mask if you are taking care of a person with Covid-19.” ",,,,,,,,,,,,,,
French Faith in Macron Hangs by a Mask Thread,Bloomberg News,4/20/2020,Medical masks are being rationed after a national stockpile was allowed to run dry.," It was the state that decided a national mask stockpile might not be necessary back in 2013, when Montebourg was in government. ","With French faith in Macron hanging by a mask thread, this is not the time to pinch pennies.",,,,,,,,,,,,,
Pandemics Come and Go But Medical Masks Are Eternal,Bloomberg News,4/10/2020,"Throughout history and across the globe, most masks have served to disguise, cloak or alter identity, whether in the special circumstances of ritual and theater, the perpetuation of crimes or the veiling of women.(negative in western culture)","Medical masks, by contrast, are meant not to hide but to protect. ","Plague doctors adopt a costume that includes a leather headdress with a long, pointed beak filled with perfumes and aromatics that masked bad odors and were believed to combat contagion carried by bad air."," She also measures the strep bacteria from healthy doctors and nurses when they talk or cough, leading her to recommend masks during surgery.","To prevent its spread, he develops masks to be worn by medical personnel and the general public. ","In Seattle, where streetcars require all riders to have masks, the local Red Cross enlists 120 workers to turn out 260,000 masks in three days.","In the 1920s, masks are standard in operating rooms. Over the next century, medical researchers continue to experiment with designs and materials.",,,,,,,,,
"As With Cigarettes and Seat Belts, Face Mask Expectations Will Change",Bloomberg News,4/10/2020,"It has been almost a week since the Trump administration recommended that all Americans wear masks, or some face coverings, in public to protect against the spread of coronavirus. ","As he put it, “Wearing a face mask as I greet presidents, prime ministers, dictators, kings, queens — I just don't see it.""","f you pass a neighbor on the street or in a grocery store, and if he’s wearing a mask, what do you think? "," For the time being, it seems clear that people really should be wearing masks in public settings. ","whatever the president does, each of us can contribute to changing the meaning of wearing a mask, simply by doing as the CDC advised – and thus of increasing the likelihood that wearing some sort of face covering will be seen as what most people are doing these days in order to be good citizens, and to protect themselves and others. ",,,,,,,,,,,
New York Needs Hospital Masks. So I Decided to Make a Delivery,Bloomberg News,3/31/2020,"I have not stayed. Instead, I'm going to pick up about a dozen masks from my friend Sal and deliver them to my friend David. ","This is my second trip upstate for masks. The previous weekend, I met Sal in the mostly deserted parking lot of a train station. He was there when I arrived. I rolled down the passenger window and he plopped a bag of construction masks on the empty seat. We chatted for a minute, bade each other good health and departed. The masks were not made for the disease engulfing New York hospitals.","Sal and his friends got to talking about the ugly state of things and the shortage of masks came up. Sal said he had delivered construction masks to someone last weekend. His friends noted that someone had just dropped off some masks for them to use. They offered the masks to Sal, who contacted his mask middleman: me.",A friend emailed last week that she had been making masks herself until she ran out of elastic. ,"Each is issued a single gauze mask to start the day; they have to make it last an entire grueling, traumatic, Covid-19 shift.",,,,,,,,,,,
Straight Talk About Masks and Coronavirus Prevention,Bloomberg News,3/25/2020,A procedural mask loosely covers the mouth and nose of the wearer and has straps that go over the ears. ,"The surgical mask is meant for operating rooms and other sterile environments, procedural masks for areas that need to be clean but not necessarily sterile. ","I offer this primer (which is not based on great expertise, so please let me know if I got anything wrong, or if you can explain to me how melt-blowing works) because health officials in Western countries have been giving some pretty confounding advice about the use of masks in fighting the coronavirus pandemic.","Also, having tried wearing N95 masks during past visits to polluted Chinese cities and having found the experience so unpleasant that I decided to suck in deadly particulates instead, I am dubious that many people not in situations of intense peril would really wear the things consistently enough to protect themselves.","The wearing of surgical masks in Japan dates back to the influenza pandemic of 1918-19, according to a brief 2014 history by journalist Jeff Yang in Quartz. By the end of that pandemic, mask-wearing was common all over the world, including in the U.S., but in Japan a major earthquake and subsequent fires in and around Tokyo in 1923 led people to get their old flu masks out of storage to protect against the smoke and ash.","Also, if we're lucky enough that the spread of the coronavirus slows during the Northern Hemisphere summer, some Western countries maybe just could, with government encouragement, have enough procedural masks on hand for widespread public use during its likely fall rebound. ",,,,,,,,,,
Sold-Out Coronavirus N95 Face Masks Offer a Lesson in Price Gouging,Bloomberg News,1/31/2020,"Now that the government has confirmed the first human-to-human transmission of the new coronavirus in the U.S., a lot of people will be rushing out to purchase masks. That would be, specifically, the N95 air filtration mask, the one recommended by the U.S. Centers for Disease Control and Prevention for blocking most airborne viruses.","no matter how many experts query whether the N95 mask would even stop transmission of the virus, supply still can’t keep up with demand.","He even sets up a website where people can bid. Every ten minutes, until the supply is gone, the highest bidder wins 20 masks. ","As a result of the insistence that Carter not sell his property at the price the market is willing to pay, the supply of N95 masks to the public is smaller than if nobody had intervened.","In that case, unless the government forces production at gunpoint, we’re going to get less of the drug (or the generators or the masks): the very thing we say we want.  ",,,,,,,,,,,
U.S. Factories Helped Win World War II. They Can Do It Again,Bloomberg News,3/16/2020,"The number of face masks in that strategic reserve was depleted in the swine-flu outbreak of 2009 and as of early March it held only about 12 million N95 respirators and 30 million surgical masks, significantly fewer than the 3.5 billion masks experts estimate the U.S. ","Rather than sit idle, American factories should be redeployed for the products needed to fight the coronavirus, whether that is face masks, ventilators, other health-care equipment or even toilet paper for that matter.","Companies such as 3M Co. and Honeywell International Inc. already make masks and personal-protective gear, but they will need help to meet the huge demand.",,,,,,,,,,,,,
Want More Ventilators? Roll Back Trump's Tariffs,Bloomberg News,3/19/2020,"Rather than handing aerospace manufacturers a blank check to make up for their idled factories, the government could give those companies a contract to make masks, ventilators, gloves or goggles.","Separately, Chinese manufacturers are barred from fulfilling the federal governments request for 500 million N95 respirator masks, according to the grant application, despite expectations that it will take 18 months for the order to be fully filled",,,,,,,,,,,,,,
Face Masks Signal Loud and Clear: Don't Come Near Me,Bloomberg News,3/19/2020,"Also, many people wear surgical masks. Usually this is done by those with colds or flu, to prevent others from getting sick. ","A mask can block someone from exhaling infectious droplets. But perhaps more importantly, it can signal other people to keep their distance.","A mask could also be used to send a false message, if people without symptoms simply want to ensure that others stay back.",Wearing a mask could serve as a relatively costly signal that someone is serious about social distancing.,"In the U.S., where wearing masks isn't common or widely accepted, the signal could be even more powerful.","But if even a few more Americans wear masks, it could send a credible signal to all those who might otherwise disdain authoritarian government directives or breathless media reports.","The problem is that surgical masks now are in short supply. The U.S. isn't a big manufacturer of masks; it has chosen to outsource that task to China. So until production can be ramped up, most masks need to be reserved for medical use.","Still, when mask production comes online, more Americans should consider adopting this common Japanese practice.",,,,,,,,
